level,expression,reading
N1,"(花を〜) 生ける, 活ける",(はなを～) いける
N1,あくどい,あくどい
N1,あざ,あざ
N1,あせる (こえが～),あせる (こえが～)
N1,あっさり,あっさり
N1,あつらえる,あつらえる
N1,あべこべ,あべこべ
N1,あやふや,あやふや
N1,ありのまま,ありのまま
N1,ありふれる,ありふれる
N1,いい加減,いいかげん
N1,いかに,いかに
N1,いかにも,いかにも
N1,いざ,いざ
N1,いじる,いじる
N1,いたって,いたって
N1,いたわる,いたわる
N1,いっそ,いっそ
N1,いびき,いびき
N1,いやに,いやに
N1,いやらしい,いやらしい
N1,うたた寝,うたたね
N1,うっとうしい,うっとうしい
N1,うつむく,うつむく
N1,うぬぼれ,うぬぼれ
N1,うんざり,うんざり
N1,おおい (かん),おおい (かん)
N1,おおげさ,おおげさ
N1,おおまかな,おおまかな
N1,おごる (ゆうしょくを～),おごる (ゆうしょくを～)
N1,おだてる,おだてる
N1,おっかない,おっかない
N1,おどおど,おどおど
N1,おびただしい,おびただしい
N1,おまけ,おまけ
N1,おむつ,おむつ
N1,おろそか,おろそか
N1,おんぶ,おんぶ
N1,お使い,おつかい
N1,お供,おとも
N1,お宮,おみや
N1,お手上げ,おてあげ
N1,お産,おさん
N1,お袋,おふくろ
N1,かかと,かかと
N1,かく (はじを),かく (はじを)
N1,かさばる,かさばる
N1,かさむ,かさむ
N1,かつて,かつて
N1,かなわない,かなわない
N1,かぶれる,かぶれる
N1,かりに,かりに
N1,かろうじて,かろうじて
N1,がっくり,がっくり
N1,がっしり,がっしり
N1,がっちり,がっちり
N1,きしむ,きしむ
N1,きちっと,きちっと
N1,きっかり,きっかり
N1,きっちり,きっちり
N1,きっぱり,きっぱり
N1,きまりわるい,きまりわるい
N1,きらびやか,きらびやか
N1,くぐる,くぐる
N1,くじ (～をひく),くじ (～をひく)
N1,くじびき,くじびき
N1,くすぐったい,くすぐったい
N1,くっきり,くっきり
N1,ぐっと,ぐっと
N1,けがらわしい,けがらわしい
N1,けなす,けなす
N1,げっそり,げっそり
N1,こじれる,こじれる
N1,こす (みずを～),こす (みずを～)
N1,こたつ,こたつ
N1,こだわる,こだわる
N1,こつ (をつかむ),こつ (をつかむ)
N1,ことごとく,ことごとく
N1,ございます (かん),ございます (かん)
N1,ごまかす,ごまかす
N1,ごらんなさい (かん),ごらんなさい (かん)
N1,さえずる,さえずる
N1,さきに (いぜん),さきに (いぜん)
N1,さぞ (さぞや。さぞかし),さぞ (さぞや。さぞかし)
N1,さっと,さっと
N1,さっぱりする,さっぱりする
N1,さほど,さほど
N1,さも,さも
N1,さらう (こどもを～),さらう (こどもを～)
N1,しかしながら,しかしながら
N1,しきたり,しきたり
N1,しくじる,しくじる
N1,しなやか,しなやか
N1,しぶとい,しぶとい
N1,しょっちゅう,しょっちゅう
N1,じっくり,じっくり
N1,すがすがしい,すがすがしい
N1,すくう (みずを～),すくう (みずを～)
N1,すばしこい,すばしこい
N1,すみやか,すみやか
N1,すれちがい,すれちがい
N1,すんなり,すんなり
N1,ずばり,ずばり
