kana,kanji,rank
あ,,6000
ああ,,2000
あい,愛,2000
あいかわらず,相変,6000
あいさつ,挨拶,2000
あいじょう,愛情,6000
あいする,愛,2000
あいず,合図,2000
あいそう,愛想,6000
あいだ,間,2000
あいて,相手,2000
あいにく,生憎,6000
あいま,合間,6000
あいまい,曖昧,6000
あう,合・会・逢,2000
あえて,敢,6000
あお,青,2000
あおい,青,2000
あおじろい,青白,6000
あか,赤,2000
あかい,赤,2000
あかじ,赤字,6000
あかちゃん,赤,6000
あかり,明,2000
あかるい,明,2000
あかんぼう,赤坊,2000
あがる,上,2000
あき,秋,2000
あきらか,明,6000
あきらめる,,2000
あきる,飽,2000
あきれる,,6000
あく,開,2000
あくしゅ,握手,2000
あくび,欠伸,6000
あくま,悪魔,6000
あくまで,飽,6000
あくる,明,6000
あける,明・開,2000
あげる,上,2000
あこがれ,憧,6000
あこがれる,憧,6000
あご,顎,2000
あさ,朝,2000
あさい,浅,2000
あさごはん,朝御飯,6000
あさって,明後日,2000
あさねぼう,朝寝坊,6000
あさばん,朝晩,6000
あさひ,朝日,6000
あさめし,朝飯,6000
あさゆう,朝夕,6000
あざやか,,6000
あし,足,2000
あしあと,足跡,6000
あしおと,足音,6000
あした,明日,2000
あしもと,足元,6000
あじ,味,2000
あじわう,味,6000
あす,明日,6000
あずかる,預,2000
あずける,預,2000
あせ,汗,2000
あせる,焦,6000
あそこ,,2000
あそび,遊,6000
あそぶ,遊,2000
あたい,値,6000
あたえる,与,2000
あたたか,暖,2000
あたたまる,暖,6000
あたためる,暖,2000
あたま,頭,2000
あたらしい,新,2000
あたり,辺,2000
あたりまえ,当前,2000
あたる,当,2000
あちこち,,6000
あちら,,2000
あちらこちら,,6000
あっ,,6000
あっか,悪化,6000
あっさり,,6000
あっち,,2000
あっぱく,圧迫,6000
あつい,厚,2000
あつかう,扱,2000
あつかましい,厚,6000
あつさ,厚,6000
あつまり,集,6000
あつまる,集,2000
あつめる,集,2000
あつらえる,,6000
あつりょく,圧力,6000
あて,宛,6000
あてな,宛名,6000
あてる,当,2000
あと,後,2000
あとまわし,後回,6000
あな,穴,2000
あなた,貴方,2000
あに,兄,2000
あね,姉,2000
あの,,2000
あのね,,2000
あばれる,暴,6000
あびる,浴,6000
あふれる,,6000
あぶない,危,2000
あぶら,油・脂,2000
あぶらえ,油絵,6000
あべこべ,,6000
あまい,甘,2000
あまえる,甘,6000
あまぐ,雨具,6000
あまど,雨戸,6000
あまやかす,甘,6000
あまり,余,2000
あまる,余,2000
あみ,網,2000
あみもの,編物,6000
あむ,編,6000
あめ,雨,2000
あめふり,雨降,6000
あやうい,危,6000
あやしい,怪,6000
あやまち,過,6000
あやまり,誤,6000
あやまる,謝,2000
あゆむ,歩,6000
あら,,6000
あらい,荒・粗,6000
あらう,洗,2000
あらかじめ,,6000
あらし,嵐,6000
あらす,荒,6000
あらすじ,粗筋,6000
あらそい,争,6000
あらそう,争,2000
あらた,新,6000
あらたまる,改,6000
あらためて,改,6000
あらためる,改,2000
あらっぽい,荒,6000
あらゆる,,2000
あらわす,表・現・著,2000
あらわれ,現,6000
あらわれる,現,2000
あり,蟻,6000
ありがたい,有難,2000
ありがとう,有難,2000
ありさま,有様,6000
ありふれた,,6000
ある,有,2000
あるいは,,2000
あるく,歩,2000
あれ,,2000
あれこれ,,6000
あれる,荒,6000
あわ,泡,6000
あわす,合,6000
あわせる,合,2000
あわただしい,慌,6000
あわてる,慌,2000
あわれ,哀,6000
あん,案,6000
あんがい,案外,2000
あんき,暗記,6000
あんさつ,暗殺,6000
あんしん,安心,2000
あんじ,暗示,6000
あんせい,安静,6000
あんぜん,安全,2000
あんてい,安定,6000
あんな,,2000
あんない,案内,2000
あんなに,,6000
あんまり,,6000
い,胃,2000
いい,良,2000
いいあらわす,言表,6000
いいえ,,2000
いいかげん,好加減,6000
いいかた,言方,6000
いいだす,言出,6000
いいつける,言付,6000
いいわけ,言訳,6000
いいん,委員,6000
いいんかい,委員会・委,6000
いう,言,2000
いえ,,2000
いえで,家出,6000
いか,以下,2000
いかが,,2000
いかす,生,6000
いかにも,,6000
いかり,怒,6000
いがい,以外,2000
いがく,医学,6000
いき,行,2000
いきいき,生生,6000
いきおい,勢,2000
いきなり,,6000
いきもの,生物,6000
いきる,生,2000
いぎ,意義,6000
いく,行,2000
いくつ,幾,2000
いくど,幾度,6000
いくにち,幾日,6000
いくぶん,幾分,6000
いくら,幾,2000
いけ,池,2000
いけない,,2000
いけばな,生花,6000
いけん,意見,2000
いご,以後,2000
いさましい,勇,2000
いし,石,2000
いしき,意識,6000
いしゃ,医者,2000
いしょう,衣装,6000
いしょくじゅう,衣食住,6000
いじ,意地,6000
いじめる,苛,6000
いじゅう,移住,6000
いじょう,以上,2000
いじわる,意地悪,6000
いす,椅子,2000
いずみ,泉,6000
いずれ,,6000
いせい,異性,6000
いぜん,以前,2000
いそがしい,忙,2000
いそぐ,急,2000
いた,板,2000
いたい,痛,2000
いたす,致,2000
いたずら,,2000
いただきます,,2000
いただく,,2000
いたみ,痛,6000
いたむ,痛,2000
いためる,傷,6000
いたわる,,6000
いだい,偉大,6000
いち,一,2000
いちいち,,6000
いちおう,一応,6000
いちご,苺,6000
いちじ,一時,6000
いちじるしい,著,6000
いちど,一度,6000
いちどう,一同,6000
いちば,市場,6000
いちばん,一番,2000
いちぶ,一部,2000
いちぶぶん,一部分,6000
いちめん,一面,6000
いちよう,一様,6000
いちりゅう,一流,6000
いっか,一家,6000
いっこう,一向,6000
いっさい,一切,6000
いっしゅ,一種,6000
いっしゅう,一周,6000
いっしゅん,一瞬,6000
いっしょ,一緒,2000
いっしょう,一生,2000
いっしょうけんめい,一生懸命,2000
いっせい,一斉,6000
いっそ,,6000
いっそう,一層,2000
いったい,一体,6000
いったん,一旦,6000
いっち,一致,6000
いってい,一定,6000
いっぱい,,2000
いっぱん,一般,2000
いっぽう,一方,2000
いつ,何時,2000
いつか,五日,2000
いつつ,五,2000
いつでも,,6000
いつのまにか,,6000
いつまでも,,6000
いつも,,2000
いと,糸,2000
いとこ,従弟妹,2000
いとなむ,営,6000
いど,井戸,6000
いどう,移動,6000
いない,以内,2000
いなか,田舎,2000
いぬ,犬,2000
いね,稲,2000
いのち,命,2000
いのり,祈,6000
いのる,祈,2000
いはん,違反,2000
いばる,,6000
いびき,,6000
いふく,衣服,6000
いま,今,2000
いまごろ,今頃,6000
いまさら,今更,6000
いまにも,今,6000
いままで,今,6000
いみ,意味,2000
いみん,移民,6000
いも,芋,6000
いもうと,妹,2000
いや,否,2000
いやいや,,6000
いやがる,嫌,6000
いやしい,卑,6000
いやに,,6000
いやらしい,,6000
いよいよ,,6000
いよく,意欲,6000
いらい,以来,6000
いらいら,,6000
いらっしゃいませ,,2000
いらっしゃる,,2000
いりぐち,入口,2000
いりょう,衣料,6000
いる,要,2000
いるい,衣類,6000
いれもの,入物,6000
いれる,入,2000
いろ,色,2000
